"","X","PROGRAM.TYPE","PROGRAM","SITE.NAME","BOROUGH...COMMUNITY","AGENCY","Contact.Number","Grade.Level...Age.Group","Location.1","Postcode","Latitude","Longitude"
"642",642,"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants","NDA Immigrants","F.E.G.S. Brooklyn Resource Center [Program site]","Brooklyn","Federation of Employment and Guidance Services, Inc.","718-336-2836x330 ","Adult","938 Kings Highway",11223,40.607066,-73.962714
"643",643,"After-School Programs","Out of School Time","Health Sciences HS","Queens","Mt. Sinai School of Medicine","(718) 344-8753","High School","150 91 87th Road",11432,40.707527,-73.806412
"644",644,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Bedford Center 1","Brooklyn","The Salvation Army ","(718) 638-1607","OST","601 Lafayette Avenue",11216,40.68999,-73.95044
"645",645,"After-School Programs","Out of School Time","P.S. 5 DR. RONALD MCNAIR SCHOOL","Brooklyn","SCO Family of Services","(718) 443-8527","Elementary","820 HANCOCK STREET",11233,40.685695,-73.922463
"646",646,"After-School Programs","Teen Action Program","Groundwork, Inc.","Brooklyn","Groundwork Inc,","718.346.2200 ext.127","13 to 21","595 Sutter Avenue",11207,40.669138,-73.896853
"647",647,"After-School Programs","Out of School Time","Samuel Field","Queens","Samuel Field YM & YWHA, Inc.","(718) 225-6750","High School","58 20 Little Neck Parkway",11362,40.761577,-73.723122
"648",648,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","High School for Dual Language and Asian Studies","New York","Brooklyn Housing & Family Services, Inc.","(212) 941-0920"," High School","350 Grand Street",10002,40.716778,-73.989337
"649",649,"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA EASTCHESTER GARDENS","Bronx","Mosholu Montefiore @Eastchester Gardens Community Center","(718) 231-3894","6 and up","3016 Yates Avenue",10469,40.870125,-73.854588
"650",650,"After-School Programs","Out of School Time","P.S. 149 THE DANNY KAYE SCHOOL","Brooklyn","Groundwork Inc.","(718) 346-2200","Elementary","700 Sutter Avenue",11207,40.669719,-73.892822
"651",651,"After-School Programs","Beacon","JHS 166","Brooklyn","East New York Development Corporation","718.257.7003","6 and up","800 Van Siclen Ave",11207,40.66011,-73.885387
"652",652,"After-School Programs","Out of School Time","P.S. 34 OLIVER H. PERRY SCHOOL","Brooklyn","School Settlement","(718) 599-9224","Elementary","131 NORMAN AVENUE",11222,40.726135,-73.949649
"653",653,"After-School Programs","Out of School Time","Mott Haven Village Prep","Bronx","East Side House, Inc.","(718) 993-4719","High School","701 St Ann's Avenue",10455,40.81825,-73.91103
"654",654,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Colony South Brooklyn Houses","Brooklyn","Colony South Brooklyn Houses","718-643-2930","14 to 24","297 Dean Street",11217,40.684309,-73.982192
"655",655,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Community Mediation Services","Queens","Brooklyn Housing & Family Services","(718) 523-6868"," High School","89 64 163rd Street",11432,40.70664,-73.798033
"656",656,"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Henry Street Settlement - Workforce Development Center ","Manhattan","Henry Street Settlement, Inc. ","212.766.9200","ESOL/Civics","99 Essex Street",10002,40.718943,-73.988012
"657",657,"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 105 - Blythebourne School","Brooklyn","Brooklyn Chinese American Association","718-438-0008","A parent 16 Years Old or Older ","1031 59th Street",11219,40.632936,-74.00374
"658",658,"After-School Programs","Out of School Time","Murry Bergtraum HS","Manhattan","YWCA of the City of New York (Main Branch)","(212) 964-9610","High School","411 Pearl Street",10038,40.711442,-74.000851
"659",659,"After-School Programs","Out of School Time","PAL-Wynn Center","Brooklyn","Police Athletic League, Inc.","(718) 230-8477","Elementary","495 Gates Avenue",11216,40.686639,-73.946989
"660",660,"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA FARRAGUT HOUSES","Brooklyn","Goodwill Industries @ David G. Farragut Community Center","(718) 852-6347","6 and up","228 York Street",11201,40.701304,-73.981762
"661",661,"After-School Programs","Out of School Time","College Quest","Manhattan","Harlem Educational Activities Fund, Inc.","(212) 663-9732","High School","2090 7th Avenue",10027,40.808639,-73.948582
"662",662,"Immigration Services,Immigrant Support Services","Legal Assistance Program","Family Justice Center","Brooklyn","Sanctuary for Families","212-349-6009","All Ages","350 Jay Street",11201,40.693524,-73.987249
"663",663,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Greater Ridgewood Youth Council, Inc.","Queens","Greater Ridgewood Youth Council, Inc.","718-456-5437 x232","14 to 24","62 04 Myrtle Avenue",11385,40.700894,-73.893211
"664",664,"After-School Programs","Out of School Time","Port Richmond HS 1","Staten Island","New York Center for Interpersonal Development","(718) 947-4122","High School","85 St Joseph Avenue",10302,40.634573,-74.141818
"665",665,"After-School Programs","Out of School Time","M.S. 172 IRWIN ALTMAN MIDDLE S","Queens","Samuel Field YM & YWHA, Inc.","(718) 347-3162","Middle School","81 14 257th Street",11004,40.741944,-73.712965
"666",666,"After-School Programs","Beacon","IS 347","Brooklyn","YMCA/Eastern District","718.947.0604","6 and up","25 Starr Street",11221,40.700515,-73.927658
"667",667,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 119 THE AMERSFORT SCHOOL","Brooklyn","Bergen Beach Youth Organization","(718) 986-9837","Elementary","3829 AVENUE
K ",11210,40.625662,-73.938265
"668",668,"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Southside Community Mission","Brooklyn","Southside Community Mission, Inc.","718.782.8181 or 718.387.6052 ","ESOL/Civics","250 Hooper Street",11211,40.705898,-73.955611
"669",669,"Immigration Services,Immigrant Support Services","Legal Assistance Program","CAMBA","Brooklyn","CAMBA, Inc.","718-940-6311 ","All Ages","2211 Church Av",11226,40.650424,-73.958175
"670",670,"After-School Programs,Summer Program,Summer Camp","Out of School Time","C.E.S. 230 PS 230 DR ROLAND N","Bronx","Supportive Childrens Advocacy Network (SCAN)","(718) 583-6116","OST","275 Harlem River Park Bridge",10453,40.852536,-73.921467
"671",671,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Police Athletic League, Inc","Queens","Police Athletic League, Inc.","212.477.6504","High School","116 25 Guy R Brewer Boulevard",11434,40.686208,-73.784144
"672",672,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","PS 3 RAUL JULIA MICRO SOCIETY (X003)","Bronx","Healthy Families","(718) 732-7523","Middle School","2100 LAFONTAINE AVENUE",10457,40.849897,-73.892289
"673",673,"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","The Fortune Society, Inc.","Queens","The Fortune Society, Inc.","212.691.7554 ext. 704","16 to 21","29 76 Northern Boulevard",11101,40.750433,-73.935323
"674",674,"Family Support,NDA Programs"," Housing","Brooklyn Housing & Family Services","Brooklyn","Council of Jewish Orgainzations of Flatbush, Inc.","(718) 435-7585","Adults","130 Clarkson Avenue",11226,40.655105,-73.955238
"675",675,"After-School Programs","Out of School Time","P.S. 22 P.S. 22","Brooklyn","Friends of Crown Heights Educational Center","(718) 638-8686","Elementary","443 St Marks Avenue",11238,40.676774,-73.960058
"676",676,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Chinese American Planning Council","Brooklyn","Chinese American Planning Council","(212) 941-0041 x 302","16+","4101 8th Avenue",11232,40.64607,-73.998544
"677",677,"After-School Programs","Teen Action Program","JHS 318 Eugenio Maria Hostos","Brooklyn","Sports and Arts in Schools Foundation","718.230.5400","13 to 21","101 Walton Street",11206,40.7025,-73.948869
"678",678,"After-School Programs","Beacon","JHS 226","Queens","Child Center of New York ","718.322.0011","6 and up","121 10 Rockaway Blvd",11420,40.675771,-73.816938
"679",679,"After-School Programs,Summer Program,Summer Camp","Out of School Time","PAL New South Bronx Center","Bronx","Police Athletic League, Inc.","(718) 991-2447","OST","991 Longwood Ave",10459,40.817185,-73.897667
"680",680,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 92 HARRY T. STEWART SR. S","Queens","Coalition for Hispanic Family Services","(718) 497-6090","OST","99 01 34 AVENUE",11368,40.755418,-73.869017
"681",681,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Harlem RBI","New York","CAMBA Healthy Families","(212) 722-1608"," High School","1948 First Ave",10029,40.786176,-73.942558
"682",682,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S./I.S. 20 GEORGE WERDANN II","Bronx","Mosholu Montefiore Community Center, Inc.","(718) 325-0764","Elementary","3050 WEBSTER AVENUE",10467,40.870002,-73.878875
"683",683,"After-School Programs","Out of School Time","J.H.S. 25 ADRIEN BLOCK SCHOOL","Queens","The Child Center of New York (QCG) ","(718) 353-3690","Middle School","34 65 192nd Street",11358,40.765133,-73.790083
"684",684,"After-School Programs","Out of School Time","Friends of Crown Hgts","Brooklyn","Friends of Crown Heights Educational Center","(718) 467-4270","Elementary","36 Ford Street",11213,40.664905,-73.929282
"685",685,"After-School Programs","Out of School Time","P.S. 82 HAMMOND SCHOOL","Queens","Queens Community House, Inc","(718) 297-0562","Elementary","88 02 144th Street",11435,40.704072,-73.811771
"686",686,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 81 JEAN PAUL RICHTER SCHO","Queens","Greater Ridgewood Youth Council, Inc.","(718) 456-5437","OST","559 CYPRESS AVENUE",11385,40.703765,-73.912344
"687",687,"After-School Programs","Out of School Time","HS for Dual Languages","Manhattan","Chinese American Planning Council","(212) 941-0920","High School","350 Grand Street",10002,40.716778,-73.989337
"688",688,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 197 JOHN RUSSWURM SCHOOL","Manhattan","Episcopal Social Services","(212) 920-9899 / (917) 509-4269","Elementary","2230 5 AVENUE",10037,40.813184,-73.937322
"689",689,"After-School Programs","Out of School Time","S. Queens Boys/Girls","Queens","South Queens Boys & Girls Club","(718) 441-6050","Elem/MS/HS","110 04 Atlantic Avenue",11419,40.691903,-73.835613
"690",690,"After-School Programs","Out of School Time","P.S./I.S. 328 PHILLIS WHEATLEY","Brooklyn","Groundwork Inc.","(718) 346-2200","Elementary","330 Alabama Avenue",11207,40.668167,-73.897835
"691",691,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","David Ruggles I.S. 258","Brooklyn","Haber, Bernard Senior Houses","(718) 453-3330"," High School","141 Macon Street",11216,40.681572,-73.945446
"692",692,"After-School Programs","Out of School Time","P.S. 11 KATHRYN M. PHELAN SCHOOL","Queens","Woodside On The Move, Inc.","(718) 476-8449","Elementary","54 25 Skillman Avenue",11377,40.745244,-73.90872
"693",693,"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","St. George's Episcopal Church","Queens","Flushing Jewish Community Council","718.463.0434","ESOL/Civics","135 33 38th Avenue
Flushing ",11354,40.760412,-73.83191
"694",694,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","LaGuardia Community College","Queens","Research Foundation of CUNY/LaGuardia Community College","718.270.6908","High School","31 10 Thomson Avenue",11101,40.744902,-73.935022
"695",695,"After-School Programs","Out of School Time","PAL-South Bronx Center","Bronx","Police Athletic League, Inc.","(718) 991-2447","High School","991 Longwood Avenue",10459,40.817185,-73.897667
"696",696,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 188 MICHAEL E. BERDY SCHO","Brooklyn","YWCA of the City of New York (Main Branch)","(347) 835-0952","OST","3314 Neptune Avenue",11224,40.577217,-74.000194
"697",697,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Catholic Charities Neighborhood Services, Inc.","Brooklyn","Catholic Charities Neighborhood Services, Inc.","718-875-8801   ","14 to 24","200 Gold Street",11201,40.698184,-73.983079
"698",698,"After-School Programs","Out of School Time","Bed-Stuy YMCA","Brooklyn","YMCA of Greater New York/Bedford Stuyvesant","(718) 789-1497","High School","139 Monroe Street",11216,40.685201,-73.952986
"699",699,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Marta Valle Secondary School","Manhattan","Grand Street Settlement, Inc.","(212) 505-6338","Middle School","145 Stanton Street",10002,40.720581,-73.985645
"700",700,"After-School Programs","Teen Action Program","JHS 296 The Halsey (K296)","Brooklyn","Ridgewood Bushwick Senior Citizens Council","718.821.0254","13 to 21","125 Covert Street",11207,40.688387,-73.910276
"701",701,"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Harbor Heights Middle School - Children's Arts & Science","Manhattan","Children's Arts & Science Workshops, Inc.","212-923-7766","All Ages","549 Audubon Avenue",10040,40.855954,-73.927051
"702",702,"After-School Programs","Out of School Time","P.S. 100 ISAAC CLASON SCHOOL","Bronx","New York Junior Tennis League","(718) 542-7420","Elementary","800 TAYLOR AVENUE",10473,40.821409,-73.862976
"703",703,"After-School Programs","Out of School Time","P.S. 116 ELIZABETH L FARRELL S","Brooklyn","Coalition for Hispanic Family Services","(718) 497-6090","Elem/MS","515 Knickerbocker Avenue",11237,40.697779,-73.916521
"704",704,"After-School Programs","Out of School Time","Nelson Ave Residence","Bronx","Bronx Council On The Arts, Inc.","(718) 409-1265","MS/HS","1605 Nelson Avenue",10453,40.846225,-73.919584
"705",705,"After-School Programs","Out of School Time","The Door-Alternatives","Manhattan","The Door - A Center of Alternatives","(212) 941-9090","High School","121 6th Avenue",10013,40.723903,-74.00469
"706",706,"After-School Programs","Beacon","PS 86","Bronx","Mosholu Montefiore Community Center","718.563.7410","6 and up","2756 Reservoir Avenue",10468,40.869835,-73.89874
"707",707,"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Asian Americans for Equality - Queens","Queens","Asian Americans for Equality - Queens","718.961.0888 or 212.979.8381","Adult","133 04 39th Avenue
Flushing ",11354,40.75909,-73.834194
"708",708,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Davidson Community Center","Bronx","Citizens Advice Bureau","(718) 508-3132","16+","2038 Davidson Avenue",10453,40.853537,-73.908741
"709",709,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 37 CYNTHIA JENKINS SCHOOL","Queens","New York Junior Tennis League","(718) 528-5399","OST","179 37 137th Avenue",11434,40.67588,-73.758505
"710",710,"After-School Programs","Out of School Time","P.S. 16 LEONARD DUNKLY SCHOOL","Brooklyn","YMCA of Greater New York/Greenpoint","(718) 389-3700","Elementary","157 WILSON STREET",11211,40.706023,-73.961476
