,Unnamed: 0,PROGRAM.TYPE,PROGRAM,SITE.NAME,BOROUGH...COMMUNITY,AGENCY,Contact.Number,Grade.Level...Age.Group,Location.1,Postcode,Latitude,Longitude
677,678,After-School Programs,Beacon,JHS 226,Queens,Child Center of New York ,718.322.0011,6 and up,121 10 Rockaway Blvd,11420,40.675771000000005,-73.81693800000001
678,679,"After-School Programs,Summer Program,Summer Camp",Out of School Time,PAL New South Bronx Center,Bronx,"Police Athletic League, Inc.",(718) 991-2447,OST,991 Longwood Ave,10459,40.817184999999995,-73.897667
679,680,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 92 HARRY T. STEWART SR. S,Queens,Coalition for Hispanic Family Services,(718) 497-6090,OST,99 01 34 AVENUE,11368,40.755418,-73.869017
681,682,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 20 GEORGE WERDANN II,Bronx,"Mosholu Montefiore Community Center, Inc.",(718) 325-0764,Elementary,3050 WEBSTER AVENUE,10467,40.870002,-73.878875
682,683,After-School Programs,Out of School Time,J.H.S. 25 ADRIEN BLOCK SCHOOL,Queens,The Child Center of New York (QCG) ,(718) 353-3690,Middle School,34 65 192nd Street,11358,40.765133,-73.790083
683,684,After-School Programs,Out of School Time,Friends of Crown Hgts,Brooklyn,Friends of Crown Heights Educational Center,(718) 467-4270,Elementary,36 Ford Street,11213,40.664905,-73.929282
684,685,After-School Programs,Out of School Time,P.S. 82 HAMMOND SCHOOL,Queens,"Queens Community House, Inc",(718) 297-0562,Elementary,88 02 144th Street,11435,40.704072,-73.811771
685,686,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 81 JEAN PAUL RICHTER SCHO,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,OST,559 CYPRESS AVENUE,11385,40.703765000000004,-73.91234399999999
686,687,After-School Programs,Out of School Time,HS for Dual Languages,Manhattan,Chinese American Planning Council,(212) 941-0920,High School,350 Grand Street,10002,40.716778000000005,-73.989337
687,688,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 197 JOHN RUSSWURM SCHOOL,Manhattan,Episcopal Social Services,(212) 920-9899 / (917) 509-4269,Elementary,2230 5 AVENUE,10037,40.813184,-73.937322
688,689,After-School Programs,Out of School Time,S. Queens Boys/Girls,Queens,South Queens Boys & Girls Club,(718) 441-6050,Elem/MS/HS,110 04 Atlantic Avenue,11419,40.691903,-73.835613
689,690,After-School Programs,Out of School Time,P.S./I.S. 328 PHILLIS WHEATLEY,Brooklyn,Groundwork Inc.,(718) 346-2200,Elementary,330 Alabama Avenue,11207,40.668167,-73.897835
690,691,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,David Ruggles I.S. 258,Brooklyn,"Haber, Bernard Senior Houses",(718) 453-3330, High School,141 Macon Street,11216,40.681571999999996,-73.94544599999999
691,692,After-School Programs,Out of School Time,P.S. 11 KATHRYN M. PHELAN SCHOOL,Queens,"Woodside On The Move, Inc.",(718) 476-8449,Elementary,54 25 Skillman Avenue,11377,40.745244,-73.90872
692,693,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,St. George's Episcopal Church,Queens,Flushing Jewish Community Council,718.463.0434,ESOL/Civics,"135 33 38th Avenue
Flushing ",11354,40.760412,-73.83191
693,694,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),LaGuardia Community College,Queens,Research Foundation of CUNY/LaGuardia Community College,718.270.6908,High School,31 10 Thomson Avenue,11101,40.744902,-73.935022
694,695,After-School Programs,Out of School Time,PAL-South Bronx Center,Bronx,"Police Athletic League, Inc.",(718) 991-2447,High School,991 Longwood Avenue,10459,40.817184999999995,-73.897667
695,696,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 188 MICHAEL E. BERDY SCHO,Brooklyn,YWCA of the City of New York (Main Branch),(347) 835-0952,OST,3314 Neptune Avenue,11224,40.577217,-74.000194
696,697,"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Catholic Charities Neighborhood Services, Inc.",Brooklyn,"Catholic Charities Neighborhood Services, Inc.",718-875-8801   ,14 to 24,200 Gold Street,11201,40.698184000000005,-73.983079
697,698,After-School Programs,Out of School Time,Bed-Stuy YMCA,Brooklyn,YMCA of Greater New York/Bedford Stuyvesant,(718) 789-1497,High School,139 Monroe Street,11216,40.685201,-73.952986
698,699,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Marta Valle Secondary School,Manhattan,"Grand Street Settlement, Inc.",(212) 505-6338,Middle School,145 Stanton Street,10002,40.720581,-73.98564499999999
699,700,After-School Programs,Teen Action Program,JHS 296 The Halsey (K296),Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,13 to 21,125 Covert Street,11207,40.688387,-73.910276
700,701,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Harbor Heights Middle School - Children's Arts & Science,Manhattan,"Children's Arts & Science Workshops, Inc.",212-923-7766,All Ages,549 Audubon Avenue,10040,40.855954,-73.927051
701,702,After-School Programs,Out of School Time,P.S. 100 ISAAC CLASON SCHOOL,Bronx,New York Junior Tennis League,(718) 542-7420,Elementary,800 TAYLOR AVENUE,10473,40.821409,-73.862976
702,703,After-School Programs,Out of School Time,P.S. 116 ELIZABETH L FARRELL S,Brooklyn,Coalition for Hispanic Family Services,(718) 497-6090,Elem/MS,515 Knickerbocker Avenue,11237,40.697779,-73.916521
703,704,After-School Programs,Out of School Time,Nelson Ave Residence,Bronx,"Bronx Council On The Arts, Inc.",(718) 409-1265,MS/HS,1605 Nelson Avenue,10453,40.846225,-73.919584
704,705,After-School Programs,Out of School Time,The Door-Alternatives,Manhattan,The Door - A Center of Alternatives,(212) 941-9090,High School,121 6th Avenue,10013,40.723903,-74.00469
705,706,After-School Programs,Beacon,PS 86,Bronx,Mosholu Montefiore Community Center,718.563.7410,6 and up,2756 Reservoir Avenue,10468,40.869834999999995,-73.89874
706,707,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Asian Americans for Equality - Queens,Queens,Asian Americans for Equality - Queens,718.961.0888 or 212.979.8381,Adult,"133 04 39th Avenue
Flushing ",11354,40.75909,-73.834194
707,708,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Davidson Community Center,Bronx,Citizens Advice Bureau,(718) 508-3132,16+,2038 Davidson Avenue,10453,40.853537,-73.908741
708,709,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 37 CYNTHIA JENKINS SCHOOL,Queens,New York Junior Tennis League,(718) 528-5399,OST,179 37 137th Avenue,11434,40.67588,-73.758505
709,710,After-School Programs,Out of School Time,P.S. 16 LEONARD DUNKLY SCHOOL,Brooklyn,YMCA of Greater New York/Greenpoint,(718) 389-3700,Elementary,157 WILSON STREET,11211,40.706022999999995,-73.961476
710,711,"After-School Programs,Summer Program,Summer Camp",Out of School Time,I.S. 218 I S 218 SALOME URENA,Manhattan,The Childrens Aid Society,(212) 569-2880,Middle School,4600 Broadway,10040,40.86079,-73.930672
711,712,After-School Programs,Out of School Time,P.S. 81 THADDEUS STEVENS SCHOOL,Brooklyn,SCO Family of Services,(718) 602-6082,Elementary,990 DEKALB AVENUE,11221,40.693160999999996,-73.935765
712,713,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,4608 13th Avenue,11219,40.636595,-73.990502
713,714,After-School Programs,Out of School Time,P.S. 178 HOLLISWOOD SCHOOL,Queens,"Samuel Field YM & YWHA, Inc.",(718) 225-6750,Elementary,189 10 RADNOR ROAD,11423,40.724478999999995,-73.777454
714,715,After-School Programs,Out of School Time,P.S. 239 P.S. 239,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,Elementary,1715 Weirfield Street,11385,40.699149,-73.90379899999999
715,716,After-School Programs,Out of School Time,Beach 41st Club (middle sch..),Queens,Madison Square Boys & Girls Club,(718) 471-5453,Middle School,426 Beach 40th Street,11691,40.596249,-73.772408
716,717,After-School Programs,Teen Action Program,I S 061 WILLIAM A MORRIS (R061),Staten Island,The Children's Aid Society,718.727.8481,13 to 21,445 Castleton Avenue,10301,40.634009000000006,-74.097826
717,718,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Public School 346 - Abe Stark Elementary School,Brooklyn,Italian American Civil Rights League (Italian American Civil,718.642.2857,High School,1400 Pennsylvania Avenue,11239,40.647259999999996,-73.881114
718,719,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 102 BAY VIEW SCHOOL,Brooklyn,Heartshare Human Services,(718) 567-2365,OST,211 72nd Street,11209,40.63402,-74.029036
719,720,After-School Programs,Out of School Time,P.S. 57 HUBERT HUMPHREY SCHOOL,Staten Island,"Police Athletic League, Inc.",(718) 720-8718,High School,140 Palma Drive,10304,40.611508,-74.083177
720,721,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,3049 Brighton 6th Street,11235,40.578435,-73.961751
721,722,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Young Minds,Brooklyn,"Fort Green Senior Citizen Council, Inc.",(718) 622-8622,OST,972 Fulton Street,11238,40.682446,-73.961984
722,723,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 11 KATHRYN M. PHELAN SCHO,Queens,"Woodside On The Move, Inc.",(718) 476-8449,OST,54 25 Skillman Avenue,11377,40.745244,-73.90872
723,724,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Apartments,Bronx,New Settlement Apartments,(718) 716-8000,OST,1512 Townsend Avenue,10452,40.842478,-73.91491500000001
724,725,After-School Programs,Out of School Time,C.I.S./H.S. 670 HEALTH OPPORTU,Bronx,"East Side House, Inc.",(718) 401-1826,High School,350 Gerard Avenue,10451,40.815938,-73.930386
725,726,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.744.7447,High School,10 25 41st Avenue,11101,40.755488,-73.945328
726,727,After-School Programs,Out of School Time,P.S. 55 HENRY BOEHM SCHOOL,Staten Island,"United Activities Unlimited, Inc.",(718) 704-8500,Elementary,54 Osborne Street,10312,40.536639,-74.163815
727,728,After-School Programs,Out of School Time,Philippine Center,Queens,"Filipino American Human Services, Inc.",(718) 883-1295,High School,185 14 Hillside Avenue,11432,40.714311,-73.776886
728,729,After-School Programs,Out of School Time,P.S. 282 PARK SLOPE SCHOOL,Brooklyn,"Imani House, Inc.",(718) 638-2059,Elementary,180 6th Avenue,11217,40.67634,-73.977367
729,730,After-School Programs,Out of School Time,Brooklyn Children's Museum,Brooklyn,Brooklyn Childrens Museum,(718) 735-4400,Elem/MS/HS,145 Brooklyn Avenue,11213,40.674772999999995,-73.944464
730,731,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Turning Point HDFC (Main Office),Brooklyn,Fredrick Douglas Academy VI High School,(718) 360-8166, High School,5013 7th Avenue,11220,40.642307,-74.006043
731,732,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,JHS 142 JOHN PHILIP SOUSA (X142),Bronx,Healthy Families,(347) 417-8120,Middle School,3750 BAYCHESTER AVENUE,10466,40.884953,-73.840524
732,733,After-School Programs,Beacon,IS 2,Staten Island,United Activities Unlimited,718.987.0351,6 and up,333 Midland Avenue,10306,40.576725,-74.100726
733,734,After-School Programs,Out of School Time,SEBNC Center,Bronx,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",(718) 542-2727,High School,955 Tinton Avenue,10456,40.823096,-73.902991
734,735,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,JFK High School - Children's Arts & Science,Bronx,"Children's Arts & Science Workshops, Inc.",212-923-7766,All Ages,99 Terrace View Avenue,10463,40.877105,-73.912256
735,736,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),South Bronx Overall Economic Development Corp.,Bronx,South Bronx Overall Economic Development Corp.,718.292.3113,High School,555 Bergen Avenue,10455,40.815959,-73.916354
736,737,After-School Programs,Out of School Time,I.S. 51 EDWIN MARKHAM SCHOOL,Staten Island,"Sports and Arts In Schools Foundation, Inc.",(718) 442-0235,Middle School,20 Houston Street,10302,40.622596,-74.14497
737,738,"Family Support,NDA Programs",Fatherhood Initiative,Project Bridge ,Brooklyn,"Catholic Charities Neighborhood Services, Inc.",718.628.1905,16 to 24,52 Wilson Avenue,11237,40.702549,-73.928986
738,739,After-School Programs,Beacon,PS 181,Brooklyn,Research Foundation of CUNY,718.703.3633,6 and up,1023 New York Avenue,11203,40.648215,-73.946374
739,740,After-School Programs,Out of School Time,Education Apprenticeship,Manhattan,The After School Corporation,(646) 943-8735,High School,1440 Broadway,10018,40.754611,-73.986761
740,741,After-School Programs,Out of School Time,Mill Brook Center,Bronx,"East Side House, Inc.",(718) 585-1254,Elementary,201 St Ann's Avenue,10454,40.805741999999995,-73.918238
741,742,After-School Programs,Out of School Time,P.S. 37 CYNTHIA JENKINS SCHOOL,Queens,New York Junior Tennis League,(718) 528-5399,Elementary,179 37 137th Avenue,11434,40.67588,-73.758505
742,743,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Christopher Columbus High School - H.S. 415,Bronx,"Henkels & McCoy, Inc.",800.622.5577,High School,"925 Astor Avenue
Bronx ",10469,40.859665,-73.861006
743,744,After-School Programs,Out of School Time,J.H.S. 190 RUSSELL SAGE SCHOOL,Queens,New York Junior Tennis League,(917) 526-9846,Middle School,68 17 Austin Street,11375,40.722707,-73.851699
744,745,After-School Programs,Out of School Time,P.S. 110 MONITOR SCHOOL,Brooklyn,North Brooklyn Development Corp,(718) 501-2861,Elementary,124 Monitor Street,11222,40.723896999999994,-73.942312
745,746,After-School Programs,Out of School Time,Broadway Housing,Manhattan,"Broadway Housing Communities, Inc",(212) 862-7155,Elem/MS,583 Riverside Drive,10031,40.821356,-73.957193
746,747,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Shorefront YM-YWHA                                                                                                                                                                                                                                                   ,Brooklyn,New York Legal Assistance Group (NYLAG),718-646-1444,All Ages,3300 Coney Island Av,11235,40.575607,-73.959463
747,748,After-School Programs,Out of School Time,P.S./I.S. 225 EILEEN E. ZAGLIN,Brooklyn,"Brighton Neighborhood Association, Inc.",(718) 891-0800,Middle School,1075 Ocean View Avenue,11235,40.579737,-73.956329
748,749,After-School Programs,Out of School Time,So. Queens Boys/Girls (HS),Queens,South Queens Boys & Girls Club,(718) 441-6050,High School,110 04 Atlantic Avenue,11419,40.691903,-73.835613
749,750,After-School Programs,Out of School Time,PS 40-Samuel Huntington,Queens,Goodwill Industries of Greater New York,(718) 523-0801,Elementary,109 20 Union Hall Street,11433,40.694125,-73.790675
750,751,"After-School Programs,Summer Program,Summer Camp",Out of School Time,PAL-Wynn Center,Brooklyn,"Police Athletic League, Inc.",(718) 230-8477,OST,495 Gates Avenue,11216,40.686639,-73.946989
751,752,"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Inwood Community Services, Inc.",Manhattan,"Inwood Community Services, Inc.",212-942-0043 ,14 to 24,"651 Academy Street
Top Flr ",10034,40.866001000000004,-73.924777
752,753,"Jobs & Internships,Youth Employment",Summer Youth Employment ,All City Leadership School,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718-381-9653 ,14 to 24,1474 Gates Avenue,11237,40.697788,-73.91390600000001
753,754,"Family Support,NDA Programs",Housing,Agudath Isreal of America Community Services Inc.,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 435-1300,Adults,4002 18th Avenue,11218,40.632540999999996,-73.973386
754,755,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 100 ISAAC CLASON SCHOOL,Bronx,New York Junior Tennis League,(718) 542-7420,OST,800 TAYLOR AVENUE,10473,40.821409,-73.862976
755,756,"After-School Programs,Summer Program,Summer Camp",Out of School Time,PS 40-Samuel Huntington,Queens,Goodwill Industries of Greater New York,(718) 523-0801,OST,109 20 Union Hall Street,11433,40.694125,-73.790675
756,757,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Erasmus H.S. of Service Learning,Brooklyn,Jacob Riis Neighborhood Settlement House,(718) 859-3800,Middle School,911 Flatbush Avenue,11226,40.649786999999996,-73.95855
